Date,Open,Higest,Lowest,Close,Volume,Turnover
2016/10/18,3272.68,3321.33,3272.68,3321.33,102860714,1.05E+11
2016/10/19,3323.3,3332.52,3309.83,3316.24,101167725,96354443264
2016/10/20,3317.18,3324.9,3312.17,3318.6,79238871,82481094656
2016/10/21,3315.72,3341.56,3309.18,3327.74,109785176,1.07E+11
2016/10/24,3332.51,3382.83,3330.97,3367.58,153014345,1.50E+11
2016/10/25,3367.48,3373.91,3356.59,3367.45,111191693,1.11E+11
2016/10/26,3365.2,3367.83,3349.57,3354.8,98024786,1.05E+11
2016/10/27,3351.46,3352.35,3335.13,3345.7,77629851,85241012224
2016/10/28,3347.14,3370.75,3337.29,3340.13,93133309,1.05E+11
2016/10/31,3332.41,3340.47,3317.33,3336.28,71352863,80701825024
2016/11/1,3338.71,3359.39,3334.46,3359.05,74938199,84717682688
2016/11/2,3350.71,3356.4,3331.38,3333.35,91197104,1.00E+11
2016/11/3,3326.9,3379.99,3324.84,3365.08,126223504,1.37E+11
2016/11/4,3362.21,3377.64,3348.43,3354.17,104069655,1.11E+11
2016/11/7,3353.44,3362.74,3342.31,3356.59,99877988,94370873344
2016/11/8,3367.7,3383.92,3361.13,3371.12,103148282,1.05E+11
2016/11/9,3370.6,3373.1,3322.08,3353.05,139110059,1.45E+11
2016/11/10,3374.91,3403.02,3374.91,3390.61,134705535,1.33E+11
2016/11/11,3387.95,3422.67,3382.89,3417.22,198781496,1.91E+11
2016/11/14,3409.22,3452.62,3408.14,3430.25,213247105,2.08E+11
2016/11/15,3428.87,3434.92,3415.99,3429.87,134566320,1.35E+11
2016/11/16,3432.43,3435.64,3419.24,3429.59,129808511,1.29E+11
2016/11/17,3423.47,3437.67,3412.88,3436.53,121561731,1.22E+11
2016/11/18,3437.49,3443.12,3413.27,3417.46,115951205,1.17E+11
2016/11/21,3412.65,3463.14,3412.08,3441.11,146434529,1.48E+11
2016/11/22,3443.22,3469.22,3443.22,3468.36,168523446,1.67E+11
2016/11/23,3473.9,3492.96,3465.76,3474.73,162388504,1.71E+11
2016/11/24,3468.81,3508.16,3467.01,3488.74,145746301,1.65E+11
2016/11/25,3490.04,3521.3,3463.95,3521.3,153621506,1.67E+11
2016/11/28,3538.68,3553.36,3528.32,3535.08,207375483,2.20E+11
2016/11/29,3525.9,3583.72,3521.38,3564.04,236918356,2.48E+11
2016/11/30,3557.64,3567.07,3527.02,3538,178560178,1.91E+11
2016/12/1,3543.96,3575.97,3543.25,3565.04,180170761,2.00E+11
2016/12/2,3559.77,3562.55,3516.79,3528.95,196355480,2.04E+11
2016/12/5,3473.69,3496.88,3457.34,3469.41,180852355,1.90E+11
2016/12/6,3466.24,3477.59,3456.81,3459.15,115529090,1.26E+11
2016/12/7,3458.37,3475.75,3445.76,3475.75,114345103,1.15E+11
2016/12/8,3481.81,3484.34,3466.51,3470.14,117383922,1.19E+11
2016/12/9,3464.87,3507.93,3461.76,3493.7,150303308,1.53E+11
2016/12/12,3489.27,3495.8,3400.79,3409.18,187467751,1.99E+11
2016/12/13,3394.21,3416.21,3370.6,3405.04,121105097,1.24E+11
2016/12/14,3399.41,3412.28,3378.27,3378.95,124007744,1.26E+11
2016/12/15,3363.86,3378.04,3327.14,3340.43,114960660,1.22E+11
2016/12/16,3335.36,3356.29,3330.49,3346.03,90775422,98112208896
2016/12/19,3342.35,3344.86,3325,3328.98,81640678,86095691776
2016/12/20,3328.3,3329.1,3289.27,3309.06,87569592,88527347712
2016/12/21,3313.75,3342.48,3313.75,3338.54,108254995,1.06E+11
2016/12/22,3335.12,3340.36,3322.72,3335.67,92277249,92564881408
2016/12/23,3333.4,3334.89,3300.88,3307.6,97444713,99575472128
2016/12/26,3293.22,3322.42,3267.05,3322.4,89793982,95493218304
2016/12/27,3319.21,3330.23,3315.83,3316.39,75486359,79617130496
2016/12/28,3315.75,3320.55,3293.17,3301.89,69000437,71759839232
2016/12/29,3297.04,3312.11,3288.1,3297.76,70087923,75972960256
2016/12/30,3302.6,3313.55,3295.75,3310.08,71744116,76921372672
2017/1/3,3313.95,3345.26,3313.95,3342.23,86567896,87612768256
2017/1/4,3340.56,3369.57,3338.15,3368.31,90050827,98014355456
2017/1/5,3368.34,3373.41,3361.46,3367.79,88336357,91189338112
2017/1/6,3366.85,3368.87,3346.89,3347.67,87459114,91072258048
2017/1/9,3345.75,3366.22,3344.35,3363.9,83707942,87916118016
2017/1/10,3361.64,3370.51,3354.09,3358.27,83819160,82533965824
2017/1/11,3355.8,3366.63,3334.3,3334.5,91071438,86750453760
2017/1/12,3332.69,3343.13,3315.96,3317.62,81239135,75031887872
2017/1/13,3317.96,3338.17,3309.37,3319.91,84180589,84556103680
2017/1/16,3314.15,3322.78,3264.21,3319.45,157779135,1.53E+11
2017/1/17,3305.6,3327.38,3292.2,3326.36,69453328,74754506752
2017/1/18,3323.34,3350.96,3320.41,3339.37,70623227,75680677888
2017/1/19,3330.95,3346.5,3324.68,3329.29,66159808,63869710336
2017/1/20,3326.98,3358.41,3326.37,3354.89,65300462,70831325184
2017/1/23,3359.05,3378.74,3355.85,3364.08,75557498,76492660736
2017/1/24,3363.14,3371.32,3355.9,3364.45,66194226,66049650688
2017/1/25,3361.66,3376.44,3357.22,3375.9,58376931,62483394560
2017/1/26,3378.26,3395.88,3378.26,3387.96,65316647,66488819712
2017/2/3,3390.93,3392.48,3362.57,3364.49,55188861,57113853952
2017/2/6,3368.11,3381.33,3358.75,3373.21,68521360,73408135168
2017/2/7,3371.77,3376.71,3354.63,3365.68,63754462,69758181376
2017/2/8,3361.78,3383.69,3347.43,3383.29,75402879,82869739520
2017/2/9,3381.9,3406.59,3379.79,3396.29,97558515,1.02E+11
